Airfoil1
START	0.000000
2.81083591	11.75894455	-3.27132326
2.69398975	11.71636011	-3.56175839
2.58047936	11.66755911	-3.85284720
2.47112793	11.61290094	-4.14245974
2.36625055	11.55244280	-4.43109930
2.26692419	11.48643777	-4.71871050
2.17428983	11.41517027	-5.00517305
2.13151368	11.37777535	-5.14801124
2.09219127	11.33943171	-5.29059984
2.05869996	11.30063917	-5.43289530
2.04647455	11.28159533	-5.50375639
2.04366267	11.27434193	-5.53185693
2.04321617	11.27092500	-5.54574463
2.05180314	11.26685327	-5.56988247
2.07571286	11.27970288	-5.53666350
2.08379571	11.28478311	-5.52224457
2.09874571	11.29450046	-5.49400715
2.13314441	11.31757217	-5.42477816
2.19799934	11.36127321	-5.28814860
2.26100052	11.40284644	-5.15224276
2.32318487	11.44265963	-5.01644705
2.44625076	11.51743402	-4.74439848
2.56840388	11.58601941	-4.47119316
2.68966452	11.64846066	-4.19647273
2.81045044	11.70480934	-3.92015405
2.93065921	11.75494088	-3.64282492
3.05091624	11.79907538	-3.36255059
3.17066073	11.83686054	-3.08129789
3.28979295	11.86825318	-2.79828908
3.40856196	11.89319896	-2.51360866
3.52710632	11.91161945	-2.22735588
3.64558070	11.92343607	-1.93961234
3.76421247	11.92858623	-1.65055835
3.88341391	11.92706469	-1.36057811
4.00295736	11.91892386	-1.07137216
4.12870063	11.90474568	-0.77935247
4.25971541	11.88372526	-0.48227673
4.39120943	11.85489973	-0.18208434
4.45611593	11.83729732	-0.03094781
4.51971179	11.81740115	0.12077418
END	0.000000
Airfoil8
START	0.000000
4.93220756	13.28066244	0.28881204
4.87298686	13.30781710	0.16975831
4.81355527	13.33395793	0.05081105
4.69446090	13.38315064	-0.18759874
4.57597272	13.42798508	-0.42778003
4.45864646	13.46826302	-0.67200057
4.34588735	13.50276560	-0.92011313
4.23785993	13.53135964	-1.16869980
4.13311441	13.55447760	-1.41809739
4.03131249	13.57221273	-1.66814366
3.93223402	13.58462977	-1.91865546
3.83579716	13.59175690	-2.16946468
3.74195969	13.59361314	-2.42043063
3.65086329	13.59016068	-2.67144123
3.56239661	13.58150931	-2.92195108
3.47639483	13.56756433	-3.17289843
3.39330978	13.54835494	-3.42316374
3.31340303	13.52375390	-3.67301706
3.23742312	13.49352142	-3.92241991
3.16618742	13.45739399	-4.17130635
3.13307565	13.43687655	-4.29556310
3.10240412	13.41447080	-4.41968622
3.07584374	13.38964747	-4.54360745
3.06573943	13.37583878	-4.60534113
3.06315211	13.36981469	-4.62985056
3.06253078	13.36660080	-4.64198680
3.06793454	13.35870382	-4.66372019
3.08464416	13.36127482	-4.63545635
3.09036510	13.36297907	-4.62279863
3.10102076	13.36649887	-4.59787336
3.12578655	13.37546476	-4.53644868
3.17301511	13.39300133	-4.41480662
3.21929126	13.40963984	-4.29369128
3.26522136	13.42529479	-4.17272241
3.35665916	13.45359184	-3.93074299
3.44794253	13.47782612	-3.68836813
3.53899878	13.49805542	-3.44539396
3.63005293	13.51420073	-3.20175704
3.72103496	13.52621056	-2.95776252
3.81223962	13.53412320	-2.71238360
3.90337995	13.53783031	-2.46666215
3.99434460	13.53738809	-2.22019910
4.08529269	13.53269817	-1.97303622
4.17632162	13.52367966	-1.72522945
4.26754151	13.51024810	-1.47682738
4.35913359	13.49229448	-1.22793609
4.45144020	13.46966197	-0.97877883
4.54465197	13.44225552	-0.73040177
4.64216201	13.40899723	-0.48063210
4.74264614	13.37011557	-0.22790429
4.84311744	13.32638947	0.02653697
4.89265719	13.30288258	0.15428776
4.94123856	13.27841597	0.28229564
END	0.000000
Airfoil9
START	0.000000
5.23730302	14.05066040	0.53078373
5.18859870	14.07900320	0.42667139
5.13974610	14.10661823	0.32262171
5.04197267	14.15957337	0.11409954
4.94489326	14.20922317	-0.09578184
4.84912743	14.25533767	-0.30862519
4.75710754	14.29683493	-0.52425648
4.66866476	14.33369075	-0.74032703
4.58278092	14.36631636	-0.95709171
4.49920833	14.39480540	-1.17445242
4.41777863	14.41922312	-1.39229318
4.33842726	14.43959592	-1.61050925
4.26112131	14.45593907	-1.82901453
4.18597388	14.46820823	-2.04774751
4.11287421	14.47648216	-2.26634544
4.04172565	14.48073287	-2.48543852
3.97284601	14.48090636	-2.70429857
3.90645038	14.47689057	-2.92312204
3.84313123	14.46843319	-3.14191627
3.78352444	14.45526000	-3.36067163
3.75568841	14.44665481	-3.47006754
3.72977529	14.43644044	-3.57949850
3.70712343	14.42405141	-3.68897937
3.69834236	14.41649756	-3.74369429
